,Question,Answer,Level,Category,Type,Tag,Answer Description
30,Which of the following statements is most accurate?,B,E,Theory,Single Choice,Portfolio Management,A security whose required rate of return is greater than the expected rate of return is considered overvalued and plots below the security market line. A security whose expected rate of return is greater than the required rate of return is considered undervalued and plots above the security market line.
a),A security whose required rate of return is greater than the expected rate of return is considered overvalued and plots above the security market line.,,,,,,
b),"If the stock’s alpha is positive, it is considered undervalued and plots above the security market line.",,,,,,
c),A security whose estimated rate of return is greater than the required rate of return is considered overvalued and plots below the security market line.,,,,,,
d),None of these,,,,,,
,,,,,,,
1,"Jessica is considering investing in two assets, A and B, with betas 2.1 and 1.6 respectively. Her broker tells her that the return on the market portfolio is 14% and that the risk-free rate is 6%. 
Given that the expected return on both the assets is 20%, she should most likely invest in:",A,M,Numerical,,,"Required return on Asset A = 0.06 + [2.1 × (0.14 – 0.06)] = 22.8% The required return on Asset A (22.8%) is more than the expected return (20%). Therefore, Jessica should not invest in it. Required return on Asset B = 0.06 + [1.6 × (0.14 – 0.06)] = 18.8% The required return on Asset B (18.8%) is less than the expected return (20%). Therefore, Jessica should invest in it."
a),Asset B only.,,,,,,
b),Asset A only.,,,,,,
c),None of the assets.,,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,Which of the following statements regarding the portfolio management process is least accurate?,A,M,Theory,Single Choice,Portfolio Management,"A portfolio’s performance should be evaluated and compared with the
 expectations and requirements listed in the policy statement"
a),A portfolio’s performance should be evaluated relative to the highest return that can be achieved,,,,,,
b),The investment policy statement must be periodically reviewed and updated.,,,,,,
c),The investor’s needs and financial market expectations jointly determine her investment strategy,,,,,,
d),None of these,,,,,,
,,,,,,,
3,An investment policy statement least likely:,B,E,Theory,Single Choice,Portfolio Management,"The investment policy statement does not guarantee investment success. It only provides discipline for the investment process and reduces the possibility of making hasty, inappropriate decisions"
a),Creates a standard to judge the performance of the portfolio manager.,,,,,,
b),Guarantees investment success.,,,,,,
c),Helps the investor decide on realistic investment goals,,,,,,
d),None of these,,,,,,
,,,,,,,
4,Javier is a relatively risk-averse investor. He tells his portfolio manager not to invest in securities with standard deviation of returns of more than 4%. This is most likely a(n):,B,E,Theory,Single Choice,Portfolio Management,This is an absolute risk objective as the investor specifically states the level of risk he is willing to take.
a),Relative risk objective.,,,,,,
b),Absolute risk objective.,,,,,,
c),Combination of relative and absolute risk objective.,,,,,,
d),None of these,,,,,,
,,,,,,,
5,"Susan is a young marketing professional who recently inherited $2 million from her grandfather. With an annual income of $300,000 she already enjoys a good lifestyle and is thinking of investing her inheritance so that she can reap the benefits 30 years later when she retires. 
However, in light of the recent financial crisis, she is only looking to invest in government bonds and commodities such as gold. 

Which of the following statements is most accurate?",C,E,Theory,Single Choice,Portfolio Management,"With a high income and a long time horizon, Susan’s ability to take risk is high. However, she is only willing to invest in government bonds and gold, investments that are considered to be relatively safe.
 Therefore, her willingness to take risk is low."
a),Susan has a high ability as well as willingness to take risk.,,,,,,
b),"Susan has a low ability to take risk, but a high willingness to take risk.",,,,,,
c),"Susan has a high ability to take risk, but a low willingness to take risk.",,,,,,
d),None of these,,,,,,
,,,,,,,
7,"Consider the following investors:

 Investor A wants to invest in securities that make regular payments so that he can pay his daughter’s college tuition.
 Investor B does not want to invest in stocks of Alpha Corp. (his employer), as he has access to material nonpublic information about the company.
 
Which of the following is most accurate?

Investor A has  ; Investor B has",C,E,Theory,Single Choice,Portfolio Management,"Investor A’s situation provides an example of a liquidity constraint.
 Investor B is legally prohibited from investing in securities regarding
 which he has material nonpublic information"
a),Liquidity constraints    ;  Unique needs and circumstances,,,,,,
b),Time horizon constraints;  Unique needs and circumstances,,,,,,
c),Liquidity constraints;  Legal and regulatory constraints,,,,,,
d),None of these,,,,,,
,,,,,,,
8,The primary determinant of portfolio returns is how the portfolio,C,E,Theory,Single Choice,Portfolio Management,"A portfolio’s allocation across various asset classes is the primary
 determinant of portfolio returns"
,manager allocates funds across:,,,,,,
a),Securities within an asset class.,,,,,,
b),Different geographic regions.,,,,,,
c),Various asset classes.,,,,,,
d),None of these,,,,,,
,,,,,,,
9,"Which of the following is most accurate regarding how portfolio managers develop risk and return expectations of various asset classes?

Return expectations can be developed from ; Risk expectations can be developed from:",A,E,Theory,Single Choice,Portfolio Management,"Return expectations can be developed from historical data, economic analysis, or valuation models, while standard deviation and correlation estimates are primarily obtained from historical data"
a),Economic analysis;  Historical data,,,,,,
b),Historical data;  Valuation models,,,,,,
c),Economic analysis;  Valuation models,,,,,,
d),None of these,,,,,,
,,,,,,,
10,Which of the following is least likely a consideration when defining asset classes?,B,E,Theory,Single Choice,Portfolio Management,"When defining asset classes:
 Each asset class should contain assets that carry a similar expected return and risk, and correlation among the assets within a class should be relatively high.
 Each asset class should provide diversification benefits. The correlation of an asset class with other asset classes should be relatively low.
 Asset classes should be mutually exclusive and should cover all investment alternatives."
a),Asset classes should cover all investment alternatives,,,,,,
b),The correlations among assets within a class should be relatively low.,,,,,,
c),The correlations among different asset classes should be relatively low.,,,,,,
d),None of these,,,,,,
,,,,,,,
11,"Consider the following statements:
 Statement 1: A change in the investor’s objectives or constraints would cause a movement in the efficient frontier.
 Statement 2: A shift in the investor’s indifference curve would require the strategic asset allocation to be adjusted.
 Which of the following is most likely?",A,E,Theory,Single Choice,Portfolio Management,"A change in the investor’s objectives or constraints would result in a shift in her indifference curves.
 A change in capital market expectations would cause a movement in the efficient frontier.
 A change in either or both the efficient frontier and the investor’s indifference curve would require the strategic asset allocation to be adjusted."
a),Only Statement 1 is incorrect.,,,,,,
b),Only Statement 2 is incorrect.,,,,,,
c),Both statements are correct.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,A portfolio manager expects commodities to outperform equities in the coming weeks and therefore allocates more funds to commodities. This is most likely referred to as:,C,E,Theory,Single Choice,Portfolio Management,"Tactical asset allocation refers to an allocation where the manager
 deliberately deviates from the strategic asset allocation for the short
 term if she believes that another asset class will perform relatively
 better."
a),Strategic asset allocation.,,,,,,
b),Security selection.,,,,,,
c),Tactical asset allocation,,,,,,
d),None of these,,,,,,
,,,,,,,
13,"Under the core-satellite approach, investors invest most of their funds in:",C,M,Theory,Single Choice,Portfolio Management,"Under the core-satellite approach, investors invest most of their funds in passive investments and trade a small proportion of assets actively."
a),Active investments.,,,,,,
b),Equity securities,,,,,,
c),Passive investments.,,,,,,
d),None of these,,,,,,
,,,,,,,
14,In the Treynor-Black model,A,M,Theory,Single Choice,Portfolio Management,
a),portfolio weight are sensitive to large alpha values which can lead to infeasible long or short position for many portfolio managers.,,,,,,
b),portfolio weight are not sensitive to large alpha values which can lead to infeasible long or short position for many portfolio managers.,,,,,,
c),portfolio weight are sensitive to large alpha values which can lead to the optimal portfolio for most portfolio managers,,,,,,
d),portfolio weight are not sensitive to large alpha values which can lead to the optimal portfolio for most portfolio managers.,,,,,,
,,,,,,,
15,Benchmark portfolio risk is defined as,C,M,Theory,Single Choice,Portfolio Management,
a),the return difference between the portfolio and the benchmark,,,,,,
b),the variance of the return of the benchmark portfolio,,,,,,
c),the variance of the return difference between the portfolio and the benchmark,,,,,,
d),the variance of the return of the actively-managed portfolio,,,,,,
,,,,,,,
16,Benchmark portfolio risk,D,E,Theory,Single Choice,Portfolio Management,
a),is inevitable and is never a significant issue in practice,,,,,,
b),is inevitable and is always a significant issue in practice,,,,,,
c),cannot be constrained to keep a Treynor-Black portfolio within reasonable weights.,,,,,,
d),can be constrained to keep a Treynor-Black portfolio within reasonable weights.,,,,,,
,,,,,,,
17,The ____________ model allows the private views of the portfolio manager to be incorporated with market data in the optimization procedure,A,M,Theory,Single Choice,Portfolio Management,
a),Black-Litterman,,,,,,
b),Treynor-Black,,,,,,
c),Treynor-Mazuy,,,,,,
d),Black-Scholes,,,,,,
,,,,,,,
18,The Black-Litterman model and Treynor-Black model are,B,M,Theory,Single Choice,Portfolio Management,
a),nice in theory but practically useless in modern portfolio management.,,,,,,
b),complementary tools that should be used in portfolio management.,,,,,,
c),"contradictory models can not be use together; therefore, portfolio managers must choose which one suits their needs.",,,,,,
d),None of these,,,,,,
,,,,,,,
19,The Black-Litterman model is geared toward ____________ while the Treynor-Black model is geared toward ____________.,D,E,Theory,Single Choice,Portfolio Management,
a),security analysis; security analysis,,,,,,
b),asset allocation; asset allocation,,,,,,
c),security analysis; asset allocation,,,,,,
d),asset allocation; security analysis,,,,,,
,,,,,,,
20,"Alpha forecasts must be ____________ to account for less-than-perfect forecasting quality. When alpha forecasts are ____________ to account for forecast imprecision, the resulting portfolio position becomes ____________.",B,E,Theory,Single Choice,Portfolio Management,
a),"shrunk, shrunk, far less moderate",,,,,,
b),"shrunk, shrunk, far more moderate",,,,,,
c),"grossed up, grossed up, far more moderate",,,,,,
d),None of these,,,,,,
,,,,,,,
21,Tracking error is defined as,A,E,Theory,Single Choice,Portfolio Management,
a),the difference between the returns on the overall risky portfolio versus the benchmark return.,,,,,,
b),the variance of the return of the benchmark portfolio,,,,,,
c),the variance of the return of the actively-managed portfolio,,,,,,
d),market.,,,,,,
,,,,,,,
22,The tracking error of an optimized portfolio can be expressed in terms of the ____________ of the portfolio and thus reveal ____________.,D,E,Theory,Single Choice,Portfolio Management,
a),return; portfolio performance,,,,,,
b),total risk; portfolio performance,,,,,,
c),beta; portfolio performance,,,,,,
d),beta; benchmark risk,,,,,,
,,,,,,,
23,The Treynor-Black model is a model that shows how an investment manager can use security analysis and statistics to construct __________.,C,E,Theory,Single Choice,Portfolio Management,The Treynor-Black model utilizes the statistics of diversification to select securities for an actively managed portfolio.
a),a market portfolio,,,,,,
b),a passive portfolio,,,,,,
c),an active portfolio,,,,,,
d),None of these,,,,,,
,,,,,,,
24,"If a portfolio manager consistently obtains a high Sharpe measure, the manager's forecasting ability __________.",A,M,Theory,Single Choice,Portfolio Management,The manager with the highest Sharpe measure presumably has true forecasting abilities.
a),is above average,,,,,,
b),is average,,,,,,
c),does not exist.,,,,,,
d),None of these,,,,,,
,,,,,,,
25,Active portfolio management consists of __________.,D,M,Theory,Single Choice,Portfolio Management,"Although one can engage in various degrees of active portfolio management (security selection without market timing and vice versa), the most active portfolio management strategy consists of engaging in both pursuits."
a),market timing,,,,,,
b),security analysis,,,,,,
c),indexing,,,,,,
d),A and B,,,,,,
,,,,,,,
26,The critical variable in the determination of the success of the active portfolio is ________.,B,E,Theory,Single Choice,Portfolio Management,"A portfolio with a positive alpha is outperforming the market. If this portfolio also has a low degree of nonsystematic risk, the portfolio is adequately diversified."
a),alpha/systematic risk,,,,,,
b),alpha/nonsystematic risk,,,,,,
c),gamma/systematic risk,,,,,,
d),None of these,,,,,,
,,,,,,,
27,"In the Treynor-Black model, the weight of each security in the portfolio should be proportional to its __________.",B,M,Theory,Single Choice,Portfolio Management,"Use the estimates of alpha, beta, and residual risk to determine the optimal weight of each security in the portfolio"
a),alpha/beta,,,,,,
b),alpha/beta/residual variance,,,,,,
c),alpha/residual variance,,,,,,
d),None of these,,,,,,
,,,,,,,
28,Active portfolio managers try to construct a risky portfolio with __________.,A,M,Theory,Single Choice,Portfolio Management,A higher Sharpe measure than a passive strategy is indicative of the benefits of active management
a),a higher Sharpe measure than a passive strategy,,,,,,
b),a lower Sharpe measure than a passive strategy,,,,,,
c),the same Sharpe measure as a passive strategy,,,,,,
d),None of these,,,,,,
,,,,,,,
29,The beta of an active portfolio is 1.20. The standard deviation of the returns on the market index is 20%. The nonsystematic variance of the active portfolio is 1%. The standard deviation of the returns on the active portfolio is __________.,D,H,Numerical,Single Choice,Portfolio Management,s = [(1.2)2(0.2)2 + 0.01]1/2 = [0.0676]1/2 = 26.0%.
a),0.0384,,,,,,
b),0.0584,,,,,,
c),0.196,,,,,,
d),0.26,,,,,,
,,,,,,,
30,"Consider the Treynor-Black model. The alpha of an active portfolio is 2%. The expected return on the market index is 16%. The variance of return on the market portfolio is 4%. 
The nonsystematic variance of the active portfolio is 1%. The risk-free rate of return is 8%. The beta of the active portfolio is 1.
 The optimal proportion to invest in the active portfolio is __________.",D,H,Numerical,Single Choice,Portfolio Management,"wO = [2%/1%]/[(16% - 8%)/4%] = 1, or 100%; w* = 1/[1 + (1-1)1] = 1."
a),0,,,,,,
b),0.25,,,,,,
c),0.5,,,,,,
d),1,,,,,,
